名称,HP,TEL,domain
INDIVI 千里阪急,https://store.world.co.jp/real-store/0000073380,06-4863-3711,store.world.co.jp
INDIVI 阪神梅田本店,,06-6345-0787,
gelato pique ルミネ立川店,https://gelatopique.com/Page/shoplist.aspx,042-595-9639,gelatopique.com
gelato pique 佐野プレミアム・アウトレット,https://www.premiumoutlets.co.jp/sano/brands/detail_958.html,0283-85-9230,premiumoutlets.co.jp
JOURNAL STANDARD relume JOURNAL STANDARD relume mozoワンダーシティ店,https://baycrews.jp/store/detail/4636,052-504-5570,baycrews.jp
JOURNAL STANDARD relume 流山おおたかの森店,https://journal-standard.jp/relume/,04-7130-6311,journal-standard.jp
JOURNAL STANDARD 仙台店,https://www.baycrews.co.jp/,022-212-5820,baycrews.co.jp
journal standard luxe 二子玉川店,https://js-luxe.jp/,03-5491-5135,js-luxe.jp
JOSEPH WOMEN 阪急うめだ本店,https://www.onward.co.jp/shop/shop.php?k=32205JY&brand=joseph&state=25&brand_blog=joseph,06-6313-7283,onward.co.jp
JOSEPH WOMEN 大丸東京店,https://joseph-fashion.com/ja-jp,03-6895-2053,joseph-fashion.com
TOMMY HILFIGER 新宿タカシマヤ店 WOMEN,https://japan.tommy.com/shop/store/S172,03-6273-2230,japan.tommy.com
TOMMY HILFIGER 西武所沢S．C．店,https://www.crystaltiara.jp/company,04-2936-6950,crystaltiara.jp
チャイハネ Part1,https://www.amina-co.jp/shop-list/cayhane/detail/2,045-662-8787,amina-co.jp
＃ワークマン女子 Workman Colors 桜井店,https://www.workman.co.jp/store/workman-colors-桜井店,0744-46-5155,workman.co.jp
＃ワークマン女子 Workman Colors 鹿屋バイパス店,https://www.instagram.com/workmancolors_kanoyabypass?igsh=MTA0eW9ud2JtdHhkeg==,0994-41-2132,instagram.com
ORIHICA ゆめが丘ソラトス店,https://www.orihica.com/shop/store/1110,045-805-0388,orihica.com
MARGARET HOWELL 池袋 東武 ウィメンズ,https://www.margarethowell.jp/shoplist.html,03-5952-7855,margarethowell.jp
J．PRESS MEN トキハ本店,https://www.jpress.jp/,097-532-5563,jpress.jp
Yohji Yamamoto ヨウジヤマモト 大丸札幌店,https://www.yohjiyamamoto.co.jp/shopinfo-detail/?id=6532,011-231-5355,yohjiyamamoto.co.jp
ライトオン アルプラザベル福井店,https://right-on.co.jp/,0776-34-2337,right-on.co.jp
ライトオン マークイズ福岡ももち店,https://biz.right-on.co.jp/shop/detail.php?r=10100583,092-836-7515,biz.right-on.co.jp
無印良品 アル・プラザ金沢,https://www.muji.com/jp/ja/shop/detail/046688,076-204-8871,muji.com
有限会社 アルコ・イリス,https://arcoiris-online.com/,076-236-2211,arcoiris-online.com
有限会社 テイ・スタイル,http://tstyle-mg.co.jp/,058-252-4063,tstyle-mg.co.jp
有限会社 スコーレ,https://www.schole-kokura.co.jp/,093-562-1737,schole-kokura.co.jp
有限会社 北摂ユニホーム,https://kanko-gakuseifuku.co.jp/shopinfo/store/1915,0797-87-8281,kanko-gakuseifuku.co.jp
有限会社 ネオ･ワールド,http://neo-world.co.jp/,06-4705-0133,neo-world.co.jp
有限会社 北岡繊維中村,https://www.kitaokaseni.com/,0880-37-2115,kitaokaseni.com
有限会社 ホリデイ,https://jc-holiday.com/,0880-37-3811,jc-holiday.com
有限会社 豊島商店,https://toyoshima-seihuku.jimdofree.com/,0898-22-3377,toyoshima-seihuku.jimdofree.com
有限会社 ザ・ガーベル,http://www.gabel.co.jp/,03-5962-3868,gabel.co.jp
有限会社 鈴木洋品店,https://s-suzuki.net/,054-641-0447,s-suzuki.net
有限会社 アミー,https://ameblo.jp/sukumoten,0880-63-3448,ameblo.jp
有限会社 沖商店,http://oki-shouten.com/index.html,0766-25-2525,oki-shouten.com
有限会社 ファッションプラザとが,https://www.sagyoufukutoga.com/,0175-63-2634,sagyoufukutoga.com
有限会社 茨城ワーク,https://www.ibarakiwork.co.jp/,0296-44-6255,ibarakiwork.co.jp
有限会社 ピーツーエス,http://p2s.jp/,06-6761-9995,p2s.jp
ISSEY MIYAKE INC． PLEATS PLEASE 仙台三越,https://www.isseymiyake.com/pages/storesdetail?shop_code=16,022-221-2604,isseymiyake.com
コムサ・プラチナ 福岡岩田屋,https://online.fivefoxes.co.jp/stores/1980500105,092-724-2026,online.fivefoxes.co.jp
AVIREX 熊本,https://www.avirex-usa.com/store/,096-245-6360,avirex-usa.com
HUF RINKU,https://www.hufworldwide.jp/ext/shoplist.html,072-493-7730,hufworldwide.jp
HUF JEANS FACTORY福山,http://www.jeansfactory.jp/,084-960-3181,jeansfactory.jp
HUF Highten,https://high-highten.com/,0883-55-0661,high-highten.com
株式会社 パーソンズ,http://www.persons-it.com/company_profile/,03-5342-6821,persons-it.com
株式会社 松井,http://www.mti-co.jp/,084-924-3500,mti-co.jp
株式会社 ダンク,https://dank-dank.jp/,092-622-3215,dank-dank.jp
